SN_Number,影片名稱,年份,集數,觀看人數,網址
90568,FAIRY TAIL 魔導少年 最終章,2018/10,第51集,5.8萬,https://ani.gamer.com.tw/animeRef.php?sn=90568
112438,Re：從零開始的異世界生活 Memory Snow,2018/10,第1集,87.8萬,https://ani.gamer.com.tw/animeRef.php?sn=112438
107907,新企鵝家族 第二季,2018/10,第26集,479.9萬,https://ani.gamer.com.tw/animeRef.php?sn=107907
102726,K Seven Stories Based on Lost Small World ～牢籠的彼端～,2018/10,第1集,16.1萬,https://ani.gamer.com.tw/animeRef.php?sn=102726
95190,逆轉裁判 第二季,2018/10,第23集,1.4萬,https://ani.gamer.com.tw/animeRef.php?sn=95190
94032,哥布林殺手,2018/10,第13集,3.7萬,https://ani.gamer.com.tw/animeRef.php?sn=94032
93875,Radiant 虛空魔境,2018/10,第21集,36.1萬,https://ani.gamer.com.tw/animeRef.php?sn=93875
91867,刀劍神域 Alicization,2018/10,第26集,552.4萬,https://ani.gamer.com.tw/animeRef.php?sn=91867
90003,SSSS.GRIDMAN,2018/10,第12集,99.5萬,https://ani.gamer.com.tw/animeRef.php?sn=90003
112437,歡迎光臨，千歲醬,2018/10,第24集,1051.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112437
101595,錢進球場 第二季,2018/10,第12集,188.7萬,https://ani.gamer.com.tw/animeRef.php?sn=101595
99804,電影版 怪物彈珠 空之彼方,2018/10,第1集,2.2萬,https://ani.gamer.com.tw/animeRef.php?sn=99804
96596,我家的女僕有夠煩！,2018/10,第12集,29.8萬,https://ani.gamer.com.tw/animeRef.php?sn=96596
96003,我讓最想被擁抱的男人給威脅了,2018/10,第13集,1.4萬,https://ani.gamer.com.tw/animeRef.php?sn=96003
95242,火之丸相撲,2018/10,第24集,40.1萬,https://ani.gamer.com.tw/animeRef.php?sn=95242
93384,JOJO 的奇妙冒險 黃金之風,2018/10,第42集,87.9萬,https://ani.gamer.com.tw/animeRef.php?sn=93384
91869,魔法禁書目錄 Ⅲ,2018/10,第26集,141.4萬,https://ani.gamer.com.tw/animeRef.php?sn=91869
99414,佐賀偶像是傳奇,2018/10,第12集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=99414
96352,學園 BASARA,2018/10,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=96352
95940,戀愛幕末男友外傳,2018/10,第12集,174.1萬,https://ani.gamer.com.tw/animeRef.php?sn=95940
96002,天空與海洋之間,2018/10,第12集,17.8萬,https://ani.gamer.com.tw/animeRef.php?sn=96002
94844,青春豬頭少年不會夢到兔女郎學姊,2018/10,第13集,6.5萬,https://ani.gamer.com.tw/animeRef.php?sn=94844
98172,強風吹拂,2018/10,第23集,3萬,https://ani.gamer.com.tw/animeRef.php?sn=98172
99054,宇宙戰艦提拉米斯 Ⅱ,2018/10,第17集,451.2萬,https://ani.gamer.com.tw/animeRef.php?sn=99054
94601,關於我轉生變成史萊姆這檔事,2018/10,第30集,175.9萬,https://ani.gamer.com.tw/animeRef.php?sn=94601
112630,DOUBLE DECKER！道格＆基里爾,2018/09,第16集,31.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112630
91974,劇場版 夏目友人帳～緣結空蟬～,2018/09,第1集,1689.9萬,https://ani.gamer.com.tw/animeRef.php?sn=91974
101881,Aikatsu! 偶像學園！STARS 第2季,2018/09,第50集,5926,https://ani.gamer.com.tw/animeRef.php?sn=101881
99986,假面騎士 ZI-O,2018/09,第49集,15.4萬,https://ani.gamer.com.tw/animeRef.php?sn=99986
102370,K Seven Stories SIDE：GREEN ～覆寫世界～,2018/09,第1集,25萬,https://ani.gamer.com.tw/animeRef.php?sn=102370
94236,企鵝公路,2018/08,第1集,48萬,https://ani.gamer.com.tw/animeRef.php?sn=94236
112590,劇場版 假面騎士 Build Be The One,2018/08,第1集,4.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112590
